2,1,425.16,25.22,22.69,54.07,1,-1,-1,-1
3,1,423.77,22.68,23.95,57.20,1,-1,-1,-1
3,2,333.72,31.84,17.56,60.10,1,-1,-1,-1
3,3,367.40,11.46,13.69,34.56,1,-1,-1,-1
4,1,422.55,20.44,25.20,60.34,1,-1,-1,-1
4,2,334.04,33.04,16.93,57.93,1,-1,-1,-1
4,3,368.50,9.41,14.15,35.92,1,-1,-1,-1
5,1,422.42,20.37,25.04,60.03,1,-1,-1,-1
5,2,334.00,33.32,16.99,58.19,1,-1,-1,-1
5,3,368.93,8.74,14.21,36.33,1,-1,-1,-1
5,4,114.05,80.87,25.90,66.00,1,-1,-1,-1
5,5,417.41,7.00,10.39,31.97,1,-1,-1,-1
6,1,422.56,21.12,24.64,59.11,1,-1,-1,-1
6,2,333.84,31.90,17.32,59.82,1,-1,-1,-1
6,3,368.66,7.87,14.33,37.11,1,-1,-1,-1
6,4,114.05,79.41,25.90,66.00,1,-1,-1,-1
6,5,417.39,7.00,10.28,31.61,1,-1,-1,-1
7,1,422.21,20.77,24.65,59.38,1,-1,-1,-1
7,2,334.20,32.79,16.60,57.61,1,-1,-1,-1
7,3,369.41,7.61,13.99,36.66,1,-1,-1,-1
8,1,422.04,22.02,23.42,56.74,1,-1,-1,-1
8,2,334.83,32.38,16.04,56.16,1,-1,-1,-1
8,3,370.54,7.57,13.49,35.77,1,-1,-1,-1
9,1,422.04,22.54,22.86,55.69,1,-1,-1,-1
9,2,335.06,32.71,15.72,55.03,1,-1,-1,-1
9,3,371.10,7.60,12.97,34.72,1,-1,-1,-1
10,1,423.95,26.14,20.20,49.19,1,-1,-1,-1
10,2,335.13,32.19,15.73,55.62,1,-1,-1,-1
10,3,372.01,6.98,12.69,34.31,1,-1,-1,-1
11,1,424.18,26.11,18.85,45.30,1,-1,-1,-1
11,2,335.32,32.39,15.49,54.75,1,-1,-1,-1
11,3,372.77,7.45,12.36,33.47,1,-1,-1,-1
12,1,423.61,25.38,18.98,45.45,1,-1,-1,-1
12,3,373.04,7.66,12.23,33.16,1,-1,-1,-1
12,4,118.68,80.81,25.47,65.02,1,-1,-1,-1
13,1,423.91,25.82,18.07,42.77,1,-1,-1,-1
13,3,372.96,8.43,11.82,31.69,1,-1,-1,-1
13,4,119.20,80.16,25.57,65.68,1,-1,-1,-1
14,1,423.90,25.92,17.54,41.52,1,-1,-1,-1
